id,speed,turn,slope,slip,surface,grounded,air,impact,traversal
D037,6.29,84,0,0.11,0.89,1,0,0,0.59
D038,6.46,101,-3,0.14,0.86,1,0,0,0.66
D039,6.63,118,-6,0.17,0.83,1,0,0,0.73
D040,6.80,135,-9,0.20,0.80,1,0,0,0.80
D041,6.97,152,-12,0.23,0.77,1,0,0,0.87
D042,7.14,169,-15,0.26,0.74,1,0,0,0.94
D043,7.31,186,-18,0.29,0.71,1,0,0,0.01
D044,7.48,203,-21,0.32,0.68,1,0,0,0.08
D045,7.65,220,-24,0.35,0.65,1,0,0,0.15
D046,7.82,237,-27,0.38,0.62,1,0,0,0.22
D047,7.99,254,-30,0.41,0.59,1,0,0,0.29
D048,8.16,271,-33,0.44,0.56,1,0,0,0.36
D049,8.33,288,-36,0.47,0.53,1,0,0,0.43
D050,8.50,305,-39,0.50,0.50,0,0.20,0,0.50
D051,8.67,322,-42,0.53,0.47,0,0.40,0,0.57
D052,8.84,339,-45,0.56,0.44,0,0.60,0,0.64
D053,9.01,356,-48,0.59,0.41,0,0.80,0,0.71
D054,9.18,373,-51,0.62,0.38,0,1.00,0,0.78
D055,9.35,390,-54,0.65,0.35,1,0.15,1.3,0.85
D056,9.52,407,54,0.68,0.32,1,0.30,2.3,0.92
D057,9.69,424,51,0.71,0.29,1,0.45,3.3,0.99
D058,9.86,441,48,0.74,0.26,1,0.60,4.3,0.06
D059,10.03,458,45,0.77,0.23,1,0.75,5.3,0.13
D060,10.20,475,42,0.80,0.20,1,0.90,6.3,0.20
D061,10.37,492,39,0.83,0.17,1,1.05,7.3,0.27
D062,10.54,509,36,0.86,0.14,1,1.20,8.3,0.34
D063,10.71,526,33,0.89,0.11,1,1.35,9.0,0.41
D064,10.88,543,30,0.92,0.08,1,0,0,0.48
D065,11.05,15,27,0.95,0.05,1,0,1.4,0.55
D066,11.22,32,24,0.98,0.02,1,0,2.4,0.62
D067,11.39,49,21,0.01,0.99,1,0,3.4,0.69
D068,11.56,66,18,0.04,0.96,1,0,4.4,0.76
D069,11.73,83,15,0.07,0.93,1,0,5.4,0.83
D070,11.90,100,12,0.10,0.90,1,0,6.4,0.90
D071,0.07,117,9,0.13,0.87,1,0,7.4,0.97
D072,0.24,134,6,0.16,0.84,1,0,8.4,0.04
D073,0.41,151,3,0.19,0.81,1,0,9.0,0.11
D074,0.58,168,0,0.22,0.78,1,0,0,0.18
D075,0.75,185,-3,0.25,0.75,1,0,1.5,0.25
D076,0.92,202,-6,0.28,0.72,1,0,2.5,0.32
D077,1.09,219,-9,0.31,0.69,1,0,3.5,0.39
D078,1.26,236,-12,0.34,0.66,1,0,4.5,0.46
D079,1.43,253,-15,0.37,0.63,1,0,5.5,0.53
D080,1.60,270,-18,0.40,0.60,1,0,6.5,0.60
D081,1.77,287,-21,0.43,0.57,1,0,7.5,0.67
D082,1.94,304,-24,0.46,0.54,1,0,8.5,0.74
D083,2.11,321,-27,0.49,0.51,1,0,9.0,0.81
D084,2.28,338,-30,0.52,0.48,1,0,0,0.88
D085,2.45,355,-33,0.55,0.45,1,0,1.6,0.95
D086,2.62,372,-36,0.58,0.42,1,0,2.6,0.02
D087,2.79,389,-39,0.61,0.39,1,0,3.6,0.09
D088,2.96,406,-42,0.64,0.36,1,0,4.6,0.16
D089,3.13,423,-45,0.67,0.33,1,0,5.6,0.23
D090,3.30,440,-48,0.70,0.30,1,0,6.6,0.30
D091,3.47,457,-51,0.73,0.27,1,0,7.6,0.37
D092,3.64,474,-54,0.76,0.24,1,0,8.6,0.44
D093,3.81,491,54,0.79,0.21,1,0,9.0,0.51
D094,3.98,508,51,0.82,0.18,1,0,0,0.58
D095,4.15,525,48,0.85,0.15,1,0,1.7,0.65
D096,4.32,542,45,0.88,0.12,1,0,2.7,0.72
D097,4.49,14,42,0.91,0.09,1,0,3.7,0.79
D098,4.66,31,39,0.94,0.06,1,0,4.7,0.86
D099,4.83,48,36,0.97,0.03,1,0,5.7,0.93
D100,5.00,65,33,0.00,1.00,1,0,6.7,0.00
D101,5.17,82,30,0.03,0.97,1,0,7.7,0.07
D102,5.34,99,27,0.06,0.94,1,0,8.7,0.14
D103,5.51,116,24,0.09,0.91,1,0,9.0,0.21
D104,5.68,133,21,0.12,0.88,1,0,0,0.28
D105,5.85,150,18,0.15,0.85,1,0,1.8,0.35
D106,6.02,167,15,0.18,0.82,1,0,2.8,0.42
D107,6.19,184,12,0.21,0.79,1,0,3.8,0.49
D108,6.36,201,9,0.24,0.76,1,0,4.8,0.56
D109,6.53,218,6,0.27,0.73,1,0,5.8,0.63
D110,6.70,235,3,0.30,0.70,1,0,6.8,0.70
D111,6.87,252,0,0.33,0.67,1,0,7.8,0.77
D112,7.04,269,-3,0.36,0.64,1,0,8.8,0.84
D113,7.21,286,-6,0.39,0.61,1,0,9.0,0.91
D114,7.38,303,-9,0.42,0.58,1,0,0,0.98
D115,7.55,320,-12,0.45,0.55,1,0,1.9,0.05
D116,7.72,337,-15,0.48,0.52,1,0,2.9,0.12
D117,7.89,354,-18,0.51,0.49,1,0,3.9,0.19
D118,8.06,371,-21,0.54,0.46,1,0,4.9,0.26
D119,8.23,388,-24,0.57,0.43,1,0,5.9,0.33
D120,8.40,405,-27,0.60,0.40,1,0,6.9,0.40
D121,8.57,422,-30,0.63,0.37,1,0,7.9,0.47
D122,8.74,439,-33,0.66,0.34,1,0,8.9,0.54
D123,8.91,456,-36,0.69,0.31,1,0,9.0,0.61
D124,9.08,473,-39,0.72,0.28,1,0,0,0.68
D125,9.25,490,-42,0.75,0.25,1,0,2.0,0.75
D126,9.42,507,-45,0.78,0.22,1,0,3.0,0.82
D127,9.59,524,-48,0.81,0.19,1,0,4.0,0.89
D128,9.76,541,-51,0.84,0.16,1,0,5.0,0.96
D129,9.93,13,-54,0.87,0.13,1,0,6.0,0.03
D130,10.10,30,54,0.90,0.10,1,0,7.0,0.10
D131,10.27,47,51,0.93,0.07,1,0,8.0,0.17
D132,10.44,64,48,0.96,0.04,1,0,9.0,0.24
D133,10.61,81,45,0.99,0.01,1,0,0,0.31
D134,10.78,98,42,0.02,0.98,1,0,1.1,0.38
D135,10.95,115,39,0.05,0.95,1,0,2.1,0.45
D136,11.12,132,36,0.08,0.92,1,0,3.1,0.52
D137,11.29,149,33,0.11,0.89,1,0,4.1,0.59
D138,11.46,166,30,0.14,0.86,1,0,5.1,0.66
D139,11.63,183,27,0.17,0.83,1,0,6.1,0.73
D140,11.80,200,24,0.20,0.80,1,0,7.1,0.80
D141,11.97,217,21,0.23,0.77,1,0,8.1,0.87
D142,0.14,234,18,0.26,0.74,1,0,9.0,0.94
D143,0.31,251,15,0.29,0.71,1,0,0,0.01
D144,0.48,268,12,0.32,0.68,1,0,1.2,0.08
D145,0.65,285,9,0.35,0.65,1,0,2.2,0.15
D146,0.82,302,6,0.38,0.62,1,0,3.2,0.22
D147,0.99,319,3,0.41,0.59,1,0,4.2,0.29
D148,1.16,336,0,0.44,0.56,1,0,5.2,0.36
D149,1.33,353,-3,0.47,0.53,1,0,6.2,0.43
