id,speed,turn,slope,slip,surface,grounded,air,impact,traversal
C032,7.68,464,-13,0.72,0.28,1,0.00,0.0,0.84
C033,7.92,496,-17,0.68,0.32,1,0.00,0.0,0.96
C034,8.16,528,-21,0.64,0.36,1,0.00,0.0,0.08
C035,8.40,0,-25,0.60,0.40,1,0.00,0.0,0.20
C036,8.64,32,-29,0.56,0.44,1,0.00,0.0,0.32
C037,8.88,64,-33,0.52,0.48,1,0.00,0.0,0.44
C038,9.12,96,-37,0.48,0.52,1,0.00,0.0,0.56
C039,9.36,128,-41,0.44,0.56,1,0.00,0.0,0.68
C040,9.60,160,-45,0.40,0.60,1,0.00,0.0,0.80
C041,9.84,192,-49,0.36,0.64,1,0.00,0.0,0.92
C042,10.08,224,-53,0.32,0.68,1,0.00,0.0,0.04
C043,10.32,256,53,0.28,0.72,1,0.00,0.0,0.16
C044,10.56,288,49,0.24,0.76,1,0.00,0.0,0.28
C045,10.80,320,45,0.20,0.80,1,0.00,0.0,0.40
C046,11.04,352,41,0.16,0.84,1,0.00,0.0,0.52
C047,11.28,384,37,0.12,0.88,1,0.00,0.0,0.64
C048,11.52,416,33,0.08,0.92,1,0.00,0.0,0.76
C049,11.76,448,29,0.04,0.96,1,0.00,0.0,0.88
C050,12.00,480,25,0.00,1.00,1,0.00,0.0,0.00
C051,0.10,512,21,0.07,0.93,1,0.00,0.0,0.13
C052,0.34,0,17,0.14,0.86,1,0.00,0.0,0.26
C053,0.58,32,13,0.21,0.79,1,0.00,0.0,0.39
C054,0.82,64,9,0.28,0.72,1,0.00,0.0,0.52
C055,1.06,96,5,0.35,0.65,1,0.00,0.0,0.65
C056,1.30,128,1,0.42,0.58,1,0.00,0.0,0.78
C057,1.54,160,-3,0.49,0.51,1,0.00,0.0,0.91
C058,1.78,192,-7,0.56,0.44,1,0.00,0.0,0.04
C059,2.02,224,-11,0.63,0.37,1,0.00,0.0,0.17
C060,2.26,256,-15,0.70,0.30,1,0.00,0.0,0.30
C061,2.50,288,-19,0.77,0.23,1,0.00,0.0,0.43
C062,2.74,320,-23,0.84,0.16,1,0.00,0.0,0.56
C063,2.98,352,-27,0.91,0.09,1,0.00,0.0,0.69
C064,3.22,384,-31,0.98,0.02,1,0.00,0.0,0.82
C065,3.46,416,-35,0.05,0.95,1,0.00,1.2,0.95
C066,3.70,448,-39,0.12,0.88,1,0.00,2.2,0.08
C067,3.94,480,-43,0.19,0.81,1,0.00,3.2,0.21
C068,4.18,512,-47,0.26,0.74,1,0.00,4.2,0.34
C069,4.42,0,-51,0.33,0.67,1,0.00,5.2,0.47
C070,4.66,32,-55,0.40,0.60,1,0.00,6.2,0.60
C071,4.90,64,55,0.47,0.53,1,0.00,7.2,0.73
C072,5.14,96,51,0.54,0.46,1,0.00,8.2,0.86
C073,5.38,128,47,0.61,0.39,1,0.00,9.0,0.99
C074,5.62,160,43,0.68,0.32,1,0.10,0.0,0.12
C075,5.86,192,39,0.75,0.25,0,0.30,0.0,0.25
C076,6.10,224,35,0.82,0.18,0,0.60,0.0,0.38
C077,6.34,256,31,0.89,0.11,0,0.90,0.0,0.51
C078,6.58,288,27,0.96,0.04,0,1.20,0.0,0.64
C079,6.82,320,23,0.03,0.97,1,0.15,1.3,0.77
C080,7.06,352,19,0.10,0.90,1,0.20,2.3,0.90
C081,7.30,384,15,0.17,0.83,1,0.25,3.3,0.03
C082,7.54,416,11,0.24,0.76,1,0.30,4.3,0.16
C083,7.78,448,7,0.31,0.69,1,0.35,5.3,0.29
C084,8.02,480,3,0.38,0.62,1,0.40,6.3,0.42
C085,8.26,512,-1,0.45,0.55,1,0.45,7.3,0.55
C086,8.50,0,-5,0.52,0.48,1,0.50,8.3,0.68
C087,8.74,32,-9,0.59,0.41,1,0.55,9.0,0.81
C088,8.98,64,-13,0.66,0.34,1,0.60,0.0,0.94
C089,9.22,96,-17,0.73,0.27,1,0.65,1.1,0.07
C090,9.46,128,-21,0.80,0.20,1,0.70,2.1,0.20
C091,9.70,160,-25,0.87,0.13,1,0.75,3.1,0.33
C092,9.94,192,-29,0.94,0.06,1,0.80,4.1,0.46
C093,10.18,224,-33,0.01,0.99,1,0.85,5.1,0.59
C094,10.42,256,-37,0.08,0.92,1,0.90,6.1,0.72
C095,10.66,288,-41,0.15,0.85,1,0.95,7.1,0.85
C096,10.90,320,-45,0.22,0.78,1,1.00,8.1,0.98
C097,11.14,352,-49,0.29,0.71,1,1.05,9.0,0.11
C098,11.38,384,-53,0.36,0.64,1,1.10,1.2,0.24
C099,11.62,416,53,0.43,0.57,1,1.15,2.2,0.37
C100,11.86,448,49,0.50,0.50,1,1.20,3.2,0.50
C101,0.20,480,45,0.57,0.43,1,0.00,4.2,0.63
C102,0.44,512,41,0.64,0.36,1,0.00,5.2,0.76
C103,0.68,0,37,0.71,0.29,1,0.00,6.2,0.89
C104,0.92,32,33,0.78,0.22,1,0.00,7.2,0.02
C105,1.16,64,29,0.85,0.15,1,0.00,8.2,0.15
C106,1.40,96,25,0.92,0.08,1,0.00,9.0,0.28
C107,1.64,128,21,0.99,0.01,1,0.00,0.0,0.41
C108,1.88,160,17,0.06,0.94,1,0.00,1.4,0.54
C109,2.12,192,13,0.13,0.87,1,0.00,2.4,0.67
C110,2.36,224,9,0.20,0.80,1,0.00,3.4,0.80
C111,2.60,256,5,0.27,0.73,1,0.00,4.4,0.93
C112,2.84,288,1,0.34,0.66,1,0.00,5.4,0.06
C113,3.08,320,-3,0.41,0.59,1,0.00,6.4,0.19
C114,3.32,352,-7,0.48,0.52,1,0.00,7.4,0.32
C115,3.56,384,-11,0.55,0.45,1,0.00,8.4,0.45
C116,3.80,416,-15,0.62,0.38,1,0.00,9.0,0.58
C117,4.04,448,-19,0.69,0.31,1,0.00,0.0,0.71
C118,4.28,480,-23,0.76,0.24,1,0.00,1.6,0.84
C119,4.52,512,-27,0.83,0.17,1,0.00,2.6,0.97
C120,4.76,0,-31,0.90,0.10,1,0.00,3.6,0.10
C121,5.00,32,-35,0.97,0.03,1,0.00,4.6,0.23
C122,5.24,64,-39,0.04,0.96,1,0.00,5.6,0.36
C123,5.48,96,-43,0.11,0.89,1,0.00,6.6,0.49
C124,5.72,128,-47,0.18,0.82,1,0.00,7.6,0.62
C125,5.96,160,-51,0.25,0.75,1,0.00,8.6,0.75
C126,6.20,192,-55,0.32,0.68,1,0.00,9.0,0.88
C127,6.44,224,55,0.39,0.61,1,0.00,0.0,0.01
C128,6.68,256,51,0.46,0.54,1,0.00,1.7,0.14
C129,6.92,288,47,0.53,0.47,1,0.00,2.7,0.27
C130,7.16,320,43,0.60,0.40,1,0.00,3.7,0.40
C131,7.40,352,39,0.67,0.33,1,0.00,4.7,0.53
C132,7.64,384,35,0.74,0.26,1,0.00,5.7,0.66
C133,7.88,416,31,0.81,0.19,1,0.00,6.7,0.79
C134,8.12,448,27,0.88,0.12,1,0.00,7.7,0.92
C135,8.36,480,23,0.95,0.05,1,0.00,8.7,0.05
C136,8.60,512,19,0.02,0.98,1,0.00,9.0,0.18
C137,8.84,0,15,0.09,0.91,1,0.00,0.0,0.31
C138,9.08,32,11,0.16,0.84,1,0.00,1.3,0.44
C139,9.32,64,7,0.23,0.77,1,0.00,2.3,0.57
C140,9.56,96,3,0.30,0.70,1,0.00,3.3,0.70
C141,9.80,128,-1,0.37,0.63,1,0.00,4.3,0.83
C142,10.04,160,-5,0.44,0.56,1,0.00,5.3,0.96
C143,10.28,192,-9,0.51,0.49,1,0.00,6.3,0.09
C144,10.52,224,-13,0.58,0.42,1,0.00,7.3,0.22
C145,10.76,256,-17,0.65,0.35,1,0.00,8.3,0.35
C146,11.00,288,-21,0.72,0.28,1,0.00,9.0,0.48
C147,11.24,320,-25,0.79,0.21,1,0.00,0.0,0.61
C148,11.48,352,-29,0.86,0.14,1,0.00,1.8,0.74
C149,11.72,384,-33,0.93,0.07,1,0.00,2.8,0.87
C150,11.96,416,-37,0.00,1.00,1,0.00,3.8,0.00
C151,0.28,448,-41,0.07,0.93,1,0.00,4.8,0.13
C152,0.52,480,-45,0.14,0.86,1,0.00,5.8,0.26
C153,0.76,512,-49,0.21,0.79,1,0.00,6.8,0.39
C154,1.00,0,-53,0.28,0.72,1,0.00,7.8,0.52
C155,1.24,32,53,0.35,0.65,1,0.00,8.8,0.65
C156,1.48,64,49,0.42,0.58,1,0.00,9.0,0.78
C157,1.72,96,45,0.49,0.51,1,0.00,0.0,0.91
C158,1.96,128,41,0.56,0.44,1,0.00,1.5,0.04
C159,2.20,160,37,0.63,0.37,1,0.00,2.5,0.17
C160,2.44,192,33,0.70,0.30,1,0.00,3.5,0.30
C161,2.68,224,29,0.77,0.23,1,0.00,4.5,0.43
C162,2.92,256,25,0.84,0.16,1,0.00,5.5,0.56
C163,3.16,288,21,0.91,0.09,1,0.00,6.5,0.69
C164,3.40,320,17,0.98,0.02,1,0.00,7.5,0.82
C165,3.64,352,13,0.05,0.95,1,0.00,8.5,0.95
C166,3.88,384,9,0.12,0.88,1,0.00,9.0,0.08
C167,4.12,416,5,0.19,0.81,1,0.00,0.0,0.21
C168,4.36,448,1,0.26,0.74,1,0.00,1.4,0.34
C169,4.60,480,-3,0.33,0.67,1,0.00,2.4,0.47
C170,4.84,512,-7,0.40,0.60,1,0.00,3.4,0.60
C171,5.08,0,-11,0.47,0.53,1,0.00,4.4,0.73
C172,5.32,32,-15,0.54,0.46,1,0.00,5.4,0.86
C173,5.56,64,-19,0.61,0.39,1,0.00,6.4,0.99
C174,5.80,96,-23,0.68,0.32,1,0.00,7.4,0.12
C175,6.04,128,-27,0.75,0.25,1,0.00,8.4,0.25
C176,6.28,160,-31,0.82,0.18,1,0.00,9.0,0.38
C177,6.52,192,-35,0.89,0.11,1,0.00,0.0,0.51
C178,6.76,224,-39,0.96,0.04,1,0.00,1.2,0.64
C179,7.00,256,-43,0.03,0.97,1,0.00,2.2,0.77
C180,7.24,288,-47,0.10,0.90,1,0.00,3.2,0.90
C181,7.48,320,-51,0.17,0.83,1,0.00,4.2,0.03
C182,7.72,352,-55,0.24,0.76,1,0.00,5.2,0.16
C183,7.96,384,55,0.31,0.69,1,0.00,6.2,0.29
C184,8.20,416,51,0.38,0.62,1,0.00,7.2,0.42
C185,8.44,448,47,0.45,0.55,1,0.00,8.2,0.55
C186,8.68,480,43,0.52,0.48,1,0.00,9.0,0.68
C187,8.92,512,39,0.59,0.41,1,0.00,0.0,0.81
C188,9.16,0,35,0.66,0.34,1,0.00,1.3,0.94
C189,9.40,32,31,0.73,0.27,1,0.00,2.3,0.07
C190,9.64,64,27,0.80,0.20,1,0.00,3.3,0.20
C191,9.88,96,23,0.87,0.13,1,0.00,4.3,0.33
C192,10.12,128,19,0.94,0.06,1,0.00,5.3,0.46
C193,10.36,160,15,0.01,0.99,1,0.00,6.3,0.59
C194,10.60,192,11,0.08,0.92,1,0.00,7.3,0.72
C195,10.84,224,7,0.15,0.85,1,0.00,8.3,0.85
C196,11.08,256,3,0.22,0.78,1,0.00,9.0,0.98
C197,11.32,288,-1,0.29,0.71,1,0.00,0.0,0.11
C198,11.56,320,-5,0.36,0.64,1,0.00,1.6,0.24
C199,11.80,352,-9,0.43,0.57,1,0.00,2.6,0.37
C200,0.16,384,-13,0.50,0.50,1,0.00,3.6,0.50
C201,0.40,416,-17,0.57,0.43,1,0.00,4.6,0.63
C202,0.64,448,-21,0.64,0.36,1,0.00,5.6,0.76
C203,0.88,480,-25,0.71,0.29,1,0.00,6.6,0.89
C204,1.12,512,-29,0.78,0.22,1,0.00,7.6,0.02
C205,1.36,0,-33,0.85,0.15,1,0.00,8.6,0.15
C206,1.60,32,-37,0.92,0.08,1,0.00,9.0,0.28
C207,1.84,64,-41,0.99,0.01,1,0.00,0.0,0.41
C208,2.08,96,-45,0.06,0.94,1,0.00,1.1,0.54
C209,2.32,128,-49,0.13,0.87,1,0.00,2.1,0.67
C210,2.56,160,-53,0.20,0.80,1,0.00,3.1,0.80
C211,2.80,192,53,0.27,0.73,1,0.00,4.1,0.93
C212,3.04,224,49,0.34,0.66,1,0.00,5.1,0.06
C213,3.28,256,45,0.41,0.59,1,0.00,6.1,0.19
C214,3.52,288,41,0.48,0.52,1,0.00,7.1,0.32
C215,3.76,320,37,0.55,0.45,1,0.00,8.1,0.45
C216,4.00,352,33,0.62,0.38,1,0.00,9.0,0.58
C217,4.24,384,29,0.69,0.31,1,0.00,0.0,0.71
C218,4.48,416,25,0.76,0.24,1,0.00,1.7,0.84
C219,4.72,448,21,0.83,0.17,1,0.00,2.7,0.97
C220,4.96,480,17,0.90,0.10,1,0.00,3.7,0.10
C221,5.20,512,13,0.97,0.03,1,0.00,4.7,0.23
C222,5.44,0,9,0.04,0.96,1,0.00,5.7,0.36
C223,5.68,32,5,0.11,0.89,1,0.00,6.7,0.49
C224,5.92,64,1,0.18,0.82,1,0.00,7.7,0.62
C225,6.16,96,-3,0.25,0.75,1,0.00,8.7,0.75
C226,6.40,128,-7,0.32,0.68,1,0.00,9.0,0.88
C227,6.64,160,-11,0.39,0.61,1,0.00,0.0,0.01
C228,6.88,192,-15,0.46,0.54,1,0.00,1.5,0.14
C229,7.12,224,-19,0.53,0.47,1,0.00,2.5,0.27
C230,7.36,256,-23,0.60,0.40,1,0.00,3.5,0.40
C231,7.60,288,-27,0.67,0.33,1,0.00,4.5,0.53
C232,7.84,320,-31,0.74,0.26,1,0.00,5.5,0.66
C233,8.08,352,-35,0.81,0.19,1,0.00,6.5,0.79
C234,8.32,384,-39,0.88,0.12,1,0.00,7.5,0.92
C235,8.56,416,-43,0.95,0.05,1,0.00,8.5,0.05
C236,8.80,448,-47,0.02,0.98,1,0.00,9.0,0.18
C237,9.04,480,-51,0.09,0.91,1,0.00,0.0,0.31
C238,9.28,512,-55,0.16,0.84,1,0.00,1.8,0.44
C239,9.52,0,55,0.23,0.77,1,0.00,2.8,0.57
C240,9.76,32,51,0.30,0.70,1,0.00,3.8,0.70
C241,10.00,64,47,0.37,0.63,1,0.00,4.8,0.83
C242,10.24,96,43,0.44,0.56,1,0.00,5.8,0.96
C243,10.48,128,39,0.51,0.49,1,0.00,6.8,0.09
C244,10.72,160,35,0.58,0.42,1,0.00,7.8,0.22
C245,10.96,192,31,0.65,0.35,1,0.00,8.8,0.35
C246,11.20,224,27,0.72,0.28,1,0.00,9.0,0.48
C247,11.44,256,23,0.79,0.21,1,0.00,0.0,0.61
C248,11.68,288,19,0.86,0.14,1,0.00,1.2,0.74
C249,11.92,320,15,0.93,0.07,1,0.00,2.2,0.87
C250,0.22,352,11,0.00,1.00,1,0.00,3.2,0.00
C251,0.46,384,7,0.07,0.93,1,0.00,4.2,0.13
C252,0.70,416,3,0.14,0.86,1,0.00,5.2,0.26
C253,0.94,448,-1,0.21,0.79,1,0.00,6.2,0.39
C254,1.18,480,-5,0.28,0.72,1,0.00,7.2,0.52
C255,1.42,512,-9,0.35,0.65,1,0.00,8.2,0.65
C256,1.66,0,-13,0.42,0.58,1,0.00,9.0,0.78
C257,1.90,32,-17,0.49,0.51,1,0.00,0.0,0.91
C258,2.14,64,-21,0.56,0.44,1,0.00,1.4,0.04
C259,2.38,96,-25,0.63,0.37,1,0.00,2.4,0.17
C260,2.62,128,-29,0.70,0.30,1,0.00,3.4,0.30
C261,2.86,160,-33,0.77,0.23,1,0.00,4.4,0.43
C262,3.10,192,-37,0.84,0.16,1,0.00,5.4,0.56
C263,3.34,224,-41,0.91,0.09,1,0.00,6.4,0.69
C264,3.58,256,-45,0.98,0.02,1,0.00,7.4,0.82
C265,3.82,288,-49,0.05,0.95,1,0.00,8.4,0.95
C266,4.06,320,-53,0.12,0.88,1,0.00,9.0,0.08
C267,4.30,352,53,0.19,0.81,1,0.00,0.0,0.21
C268,4.54,384,49,0.26,0.74,1,0.00,1.6,0.34
C269,4.78,416,45,0.33,0.67,1,0.00,2.6,0.47
C270,5.02,448,41,0.40,0.60,1,0.00,3.6,0.60
C271,5.26,480,37,0.47,0.53,1,0.00,4.6,0.73
C272,5.50,512,33,0.54,0.46,1,0.00,5.6,0.86
C273,5.74,0,29,0.61,0.39,1,0.00,6.6,0.99
C274,5.98,32,25,0.68,0.32,1,0.00,7.6,0.12
C275,6.22,64,21,0.75,0.25,1,0.00,8.6,0.25
C276,6.46,96,17,0.82,0.18,1,0.00,9.0,0.38
C277,6.70,128,13,0.89,0.11,1,0.00,0.0,0.51
C278,6.94,160,9,0.96,0.04,1,0.00,1.3,0.64
C279,7.18,192,5,0.03,0.97,1,0.00,2.3,0.77
C280,7.42,224,1,0.10,0.90,1,0.00,3.3,0.90
C281,7.66,256,-3,0.17,0.83,1,0.00,4.3,0.03
C282,7.90,288,-7,0.24,0.76,1,0.00,5.3,0.16
C283,8.14,320,-11,0.31,0.69,1,0.00,6.3,0.29
C284,8.38,352,-15,0.38,0.62,1,0.00,7.3,0.42
C285,8.62,384,-19,0.45,0.55,1,0.00,8.3,0.55
C286,8.86,416,-23,0.52,0.48,1,0.00,9.0,0.68
C287,9.10,448,-27,0.59,0.41,1,0.00,0.0,0.81
C288,9.34,480,-31,0.66,0.34,1,0.00,1.4,0.94
C289,9.58,512,-35,0.73,0.27,1,0.00,2.4,0.07
C290,9.82,0,-39,0.80,0.20,1,0.00,3.4,0.20
C291,10.06,32,-43,0.87,0.13,1,0.00,4.4,0.33
C292,10.30,64,-47,0.94,0.06,1,0.00,5.4,0.46
C293,10.54,96,-51,0.01,0.99,1,0.00,6.4,0.59
C294,10.78,128,-55,0.08,0.92,1,0.00,7.4,0.72
C295,11.02,160,55,0.15,0.85,1,0.00,8.4,0.85
C296,11.26,192,51,0.22,0.78,1,0.00,9.0,0.98
C297,11.50,224,47,0.29,0.71,1,0.00,0.0,0.11
C298,11.74,256,43,0.36,0.64,1,0.00,1.5,0.24
C299,11.98,288,39,0.43,0.57,1,0.00,2.5,0.37
C300,0.34,320,35,0.50,0.50,1,0.00,3.5,0.50
C301,0.58,352,31,0.57,0.43,1,0.00,4.5,0.63
C302,0.82,384,27,0.64,0.36,1,0.00,5.5,0.76
C303,1.06,416,23,0.71,0.29,1,0.00,6.5,0.89
C304,1.30,448,19,0.78,0.22,1,0.00,7.5,0.02
C305,1.54,480,15,0.85,0.15,1,0.00,8.5,0.15
C306,1.78,512,11,0.92,0.08,1,0.00,9.0,0.28
C307,2.02,0,7,0.99,0.01,1,0.00,0.0,0.41
C308,2.26,32,3,0.06,0.94,1,0.00,1.7,0.54
C309,2.50,64,-1,0.13,0.87,1,0.00,2.7,0.67
C310,2.74,96,-5,0.20,0.80,1,0.00,3.7,0.80
C311,2.98,128,-9,0.27,0.73,1,0.00,4.7,0.93
C312,3.22,160,-13,0.34,0.66,1,0.00,5.7,0.06
C313,3.46,192,-17,0.41,0.59,1,0.00,6.7,0.19
C314,3.70,224,-21,0.48,0.52,1,0.00,7.7,0.32
C315,3.94,256,-25,0.55,0.45,1,0.00,8.7,0.45
C316,4.18,288,-29,0.62,0.38,1,0.00,9.0,0.58
C317,4.42,320,-33,0.69,0.31,1,0.00,0.0,0.71
C318,4.66,352,-37,0.76,0.24,1,0.00,1.6,0.84
C319,4.90,384,-41,0.83,0.17,1,0.00,2.6,0.97
C320,5.14,416,-45,0.90,0.10,1,0.00,3.6,0.10
C321,5.38,448,-49,0.97,0.03,1,0.00,4.6,0.23
C322,5.62,480,-53,0.04,0.96,1,0.00,5.6,0.36
C323,5.86,512,53,0.11,0.89,1,0.00,6.6,0.49
C324,6.10,0,49,0.18,0.82,1,0.00,7.6,0.62
C325,6.34,32,45,0.25,0.75,1,0.00,8.6,0.75
C326,6.58,64,41,0.32,0.68,1,0.00,9.0,0.88
C327,6.82,96,37,0.39,0.61,1,0.00,0.0,0.01
C328,7.06,128,33,0.46,0.54,1,0.00,1.1,0.14
C329,7.30,160,29,0.53,0.47,1,0.00,2.1,0.27
C330,7.54,192,25,0.60,0.40,1,0.00,3.1,0.40
C331,7.78,224,21,0.67,0.33,1,0.00,4.1,0.53
C332,8.02,256,17,0.74,0.26,1,0.00,5.1,0.66
C333,8.26,288,13,0.81,0.19,1,0.00,6.1,0.79
C334,8.50,320,9,0.88,0.12,1,0.00,7.1,0.92
C335,8.74,352,5,0.95,0.05,1,0.00,8.1,0.05
C336,8.98,384,1,0.02,0.98,1,0.00,9.0,0.18
C337,9.22,416,-3,0.09,0.91,1,0.00,0.0,0.31
C338,9.46,448,-7,0.16,0.84,1,0.00,1.8,0.44
C339,9.70,480,-11,0.23,0.77,1,0.00,2.8,0.57
C340,9.94,512,-15,0.30,0.70,1,0.00,3.8,0.70
C341,10.18,0,-19,0.37,0.63,1,0.00,4.8,0.83
C342,10.42,32,-23,0.44,0.56,1,0.00,5.8,0.96
C343,10.66,64,-27,0.51,0.49,1,0.00,6.8,0.09
C344,10.90,96,-31,0.58,0.42,1,0.00,7.8,0.22
C345,11.14,128,-35,0.65,0.35,1,0.00,8.8,0.35
C346,11.38,160,-39,0.72,0.28,1,0.00,9.0,0.48
C347,11.62,192,-43,0.79,0.21,1,0.00,0.0,0.61
C348,11.86,224,-47,0.86,0.14,1,0.00,1.2,0.74
C349,0.38,256,-51,0.93,0.07,1,0.00,2.2,0.87
C350,0.62,288,-55,0.00,1.00,1,0.00,3.2,0.00
C351,0.86,320,55,0.07,0.93,1,0.00,4.2,0.13
C352,1.10,352,51,0.14,0.86,1,0.00,5.2,0.26
C353,1.34,384,47,0.21,0.79,1,0.00,6.2,0.39
C354,1.58,416,43,0.28,0.72,1,0.00,7.2,0.52
C355,1.82,448,39,0.35,0.65,1,0.00,8.2,0.65
C356,2.06,480,35,0.42,0.58,1,0.00,9.0,0.78
C357,2.30,512,31,0.49,0.51,1,0.00,0.0,0.91
C358,2.54,0,27,0.56,0.44,1,0.00,1.4,0.04
C359,2.78,32,23,0.63,0.37,1,0.00,2.4,0.17
C360,3.02,64,19,0.70,0.30,1,0.00,3.4,0.30
C361,3.26,96,15,0.77,0.23,1,0.00,4.4,0.43
C362,3.50,128,11,0.84,0.16,1,0.00,5.4,0.56
C363,3.74,160,7,0.91,0.09,1,0.00,6.4,0.69
C364,3.98,192,3,0.98,0.02,1,0.00,7.4,0.82
C365,4.22,224,-1,0.05,0.95,1,0.00,8.4,0.95
C366,4.46,256,-5,0.12,0.88,1,0.00,9.0,0.08
C367,4.70,288,-9,0.19,0.81,1,0.00,0.0,0.21
C368,4.94,320,-13,0.26,0.74,1,0.00,1.2,0.34
C369,5.18,352,-17,0.33,0.67,1,0.00,2.2,0.47
C370,5.42,384,-21,0.40,0.60,1,0.00,3.2,0.60
C371,5.66,416,-25,0.47,0.53,1,0.00,4.2,0.73
C372,5.90,448,-29,0.54,0.46,1,0.00,5.2,0.86
C373,6.14,480,-33,0.61,0.39,1,0.00,6.2,0.99
C374,6.38,512,-37,0.68,0.32,1,0.00,7.2,0.12
C375,6.62,0,-41,0.75,0.25,1,0.00,8.2,0.25
C376,6.86,32,-45,0.82,0.18,1,0.00,9.0,0.38
C377,7.10,64,-49,0.89,0.11,1,0.00,0.0,0.51
C378,7.34,96,-53,0.96,0.04,1,0.00,1.3,0.64
C379,7.58,128,53,0.03,0.97,1,0.00,2.3,0.77
C380,7.82,160,49,0.10,0.90,1,0.00,3.3,0.90
C381,8.06,192,45,0.17,0.83,1,0.00,4.3,0.03
C382,8.30,224,41,0.24,0.76,1,0.00,5.3,0.16
C383,8.54,256,37,0.31,0.69,1,0.00,6.3,0.29
C384,8.78,288,33,0.38,0.62,1,0.00,7.3,0.42
C385,9.02,320,29,0.45,0.55,1,0.00,8.3,0.55
C386,9.26,352,25,0.52,0.48,1,0.00,9.0,0.68
C387,9.50,384,21,0.59,0.41,1,0.00,0.0,0.81
C388,9.74,416,17,0.66,0.34,1,0.00,1.4,0.94
C389,9.98,448,13,0.73,0.27,1,0.00,2.4,0.07
C390,10.22,480,9,0.80,0.20,1,0.00,3.4,0.20
C391,10.46,512,5,0.87,0.13,1,0.00,4.4,0.33
C392,10.70,0,1,0.94,0.06,1,0.00,5.4,0.46
C393,10.94,32,-3,0.01,0.99,1,0.00,6.4,0.59
C394,11.18,64,-7,0.08,0.92,1,0.00,7.4,0.72
C395,11.42,96,-11,0.15,0.85,1,0.00,8.4,0.85
C396,11.66,128,-15,0.22,0.78,1,0.00,9.0,0.98
C397,11.90,160,-19,0.29,0.71,1,0.00,0.0,0.11
C398,0.42,192,-23,0.36,0.64,1,0.00,1.5,0.24
C399,0.66,224,-27,0.43,0.57,1,0.00,2.5,0.37
C400,0.90,256,-31,0.50,0.50,1,0.00,3.5,0.50
C401,1.14,288,-35,0.57,0.43,1,0.00,4.5,0.63
C402,1.38,320,-39,0.64,0.36,1,0.00,5.5,0.76
C403,1.62,352,-43,0.71,0.29,1,0.00,6.5,0.89
C404,1.86,384,-47,0.78,0.22,1,0.00,7.5,0.02
C405,2.10,416,-51,0.85,0.15,1,0.00,8.5,0.15
C406,2.34,448,-55,0.92,0.08,1,0.00,9.0,0.28
C407,2.58,480,55,0.99,0.01,1,0.00,0.0,0.41
C408,2.82,512,51,0.06,0.94,1,0.00,1.7,0.54
C409,3.06,0,47,0.13,0.87,1,0.00,2.7,0.67
C410,3.30,32,43,0.20,0.80,1,0.00,3.7,0.80
C411,3.54,64,39,0.27,0.73,1,0.00,4.7,0.93
C412,3.78,96,35,0.34,0.66,1,0.00,5.7,0.06
C413,4.02,128,31,0.41,0.59,1,0.00,6.7,0.19
C414,4.26,160,27,0.48,0.52,1,0.00,7.7,0.32
C415,4.50,192,23,0.55,0.45,1,0.00,8.7,0.45
