id,speed,turn,slope,slip,surface,grounded,air,impact,traversal
E067,5.36,112,-24,0.67,0.33,1,0,3.7,0.35
E068,5.44,130,-26,0.68,0.32,1,0,3.8,0.40
E069,5.52,148,-28,0.69,0.31,1,0,3.9,0.45
E070,5.60,166,-30,0.70,0.30,1,0,4.0,0.50
E071,5.68,184,-32,0.71,0.29,1,0,4.1,0.55
E072,5.76,202,-34,0.72,0.28,1,0,4.2,0.60
E073,5.84,220,-36,0.73,0.27,1,0,4.3,0.65
E074,5.92,238,-38,0.74,0.26,1,0,4.4,0.70
E075,6.00,256,-40,0.75,0.25,1,0,4.5,0.75
E076,6.08,274,-42,0.76,0.24,1,0,4.6,0.80
E077,6.16,292,-44,0.77,0.23,1,0,4.7,0.85
E078,6.24,310,-46,0.78,0.22,1,0,4.8,0.90
E079,6.32,328,-48,0.79,0.21,1,0,4.9,0.95
E080,6.40,346,-50,0.80,0.20,1,0,5.0,1.00
E081,6.48,364,-52,0.81,0.19,1,0,5.1,0.05
E082,6.56,382,-54,0.82,0.18,1,0,5.2,0.10
E083,6.64,400,54,0.83,0.17,1,0,5.3,0.15
E084,6.72,418,52,0.84,0.16,1,0,5.4,0.20
E085,6.80,436,50,0.85,0.15,1,0,5.5,0.25
E086,6.88,454,48,0.86,0.14,1,0,5.6,0.30
E087,6.96,472,46,0.87,0.13,1,0,5.7,0.35
E088,7.04,490,44,0.88,0.12,1,0,5.8,0.40
E089,7.12,508,42,0.89,0.11,1,0,5.9,0.45
E090,7.20,526,40,0.90,0.10,1,0,6.0,0.50
E091,7.28,2,38,0.91,0.09,1,0,6.1,0.55
E092,7.36,20,36,0.92,0.08,1,0,6.2,0.60
E093,7.44,38,34,0.93,0.07,1,0,6.3,0.65
E094,7.52,56,32,0.94,0.06,1,0,6.4,0.70
E095,7.60,74,30,0.95,0.05,1,0,6.5,0.75
E096,7.68,92,28,0.96,0.04,1,0,6.6,0.80
E097,7.76,110,26,0.97,0.03,1,0,6.7,0.85
E098,7.84,128,24,0.98,0.02,1,0,6.8,0.90
E099,7.92,146,22,0.99,0.01,1,0,6.9,0.95
E100,8.00,164,20,0.00,1.00,1,0,7.0,1.00
E101,8.08,182,18,0.03,0.97,1,0,7.1,0.05
E102,8.16,200,16,0.06,0.94,1,0,7.2,0.10
E103,8.24,218,14,0.09,0.91,1,0,7.3,0.15
E104,8.32,236,12,0.12,0.88,1,0,7.4,0.20
E105,8.40,254,10,0.15,0.85,1,0,7.5,0.25
E106,8.48,272,8,0.18,0.82,1,0,7.6,0.30
E107,8.56,290,6,0.21,0.79,1,0,7.7,0.35
E108,8.64,308,4,0.24,0.76,1,0,7.8,0.40
E109,8.72,326,2,0.27,0.73,1,0,7.9,0.45
E110,8.80,344,0,0.30,0.70,1,0,8.0,0.50
E111,8.88,362,-2,0.33,0.67,1,0,8.1,0.55
E112,8.96,380,-4,0.36,0.64,1,0,8.2,0.60
E113,9.04,398,-6,0.39,0.61,1,0,8.3,0.65
E114,9.12,416,-8,0.42,0.58,1,0,8.4,0.70
E115,9.20,434,-10,0.45,0.55,1,0,8.5,0.75
E116,9.28,452,-12,0.48,0.52,1,0,8.6,0.80
E117,9.36,470,-14,0.51,0.49,1,0,8.7,0.85
E118,9.44,488,-16,0.54,0.46,1,0,8.8,0.90
E119,9.52,506,-18,0.57,0.43,1,0,8.9,0.95
E120,9.60,524,-20,0.60,0.40,1,0,9.0,1.00
E121,9.68,0,-22,0.63,0.37,1,0,0,0.05
E122,9.76,18,-24,0.66,0.34,1,0,0,0.10
E123,9.84,36,-26,0.69,0.31,1,0,0,0.15
E124,9.92,54,-28,0.72,0.28,1,0,0,0.20
E125,10.00,72,-30,0.75,0.25,1,0,0,0.25
E126,10.08,90,-32,0.78,0.22,1,0,0,0.30
E127,10.16,108,-34,0.81,0.19,1,0,0,0.35
E128,10.24,126,-36,0.84,0.16,1,0,0,0.40
E129,10.32,144,-38,0.87,0.13,1,0,0,0.45
E130,10.40,162,-40,0.90,0.10,1,0,0,0.50
E131,10.48,180,-42,0.93,0.07,1,0,0,0.55
E132,10.56,198,-44,0.96,0.04,1,0,0,0.60
E133,10.64,216,-46,0.99,0.01,1,0,0,0.65
E134,10.72,234,46,0.02,0.98,1,0,0,0.70
E135,10.80,252,44,0.05,0.95,1,0,0,0.75
E136,10.88,270,42,0.08,0.92,1,0,0,0.80
E137,10.96,288,40,0.11,0.89,1,0,0,0.85
E138,11.04,306,38,0.14,0.86,1,0,0,0.90
E139,11.12,324,36,0.17,0.83,1,0,0,0.95
E140,11.20,342,34,0.20,0.80,1,0,0,1.00
E141,11.28,360,32,0.23,0.77,1,0,1,0.05
E142,11.36,378,30,0.26,0.74,1,0,1,0.10
E143,11.44,396,28,0.29,0.71,1,0,1,0.15
E144,11.52,414,26,0.32,0.68,1,0,1,0.20
E145,11.60,432,24,0.35,0.65,1,0,1,0.25
E146,11.68,450,22,0.38,0.62,1,0,1,0.30
E147,11.76,468,20,0.41,0.59,1,0,1,0.35
E148,11.84,486,18,0.44,0.56,1,0,1,0.40
E149,11.92,504,16,0.47,0.53,1,0,1,0.45
E150,12.00,522,14,0.50,0.50,1,0,1,0.50
E151,0.12,540,12,0.53,0.47,0,0.2,0,0.55
E152,0.36,12,10,0.56,0.44,0,0.4,0,0.60
E153,0.60,30,8,0.59,0.41,0,0.6,0,0.65
E154,0.84,48,6,0.62,0.38,0,0.8,0,0.70
E155,1.08,66,4,0.65,0.35,0,1.0,0,0.75
E156,1.32,84,2,0.68,0.32,1,0.2,2,0.80
E157,1.56,102,0,0.71,0.29,1,0.4,3,0.85
E158,1.80,120,-2,0.74,0.26,1,0.6,4,0.90
E159,2.04,138,-4,0.77,0.23,1,0.8,5,0.95
E160,2.28,156,-6,0.80,0.20,1,1.0,6,1.00
E161,2.52,174,-8,0.83,0.17,1,0,7,0.05
E162,2.76,192,-10,0.86,0.14,1,0,8,0.10
E163,3.00,210,-12,0.89,0.11,1,0,9,0.15
E164,3.24,228,-14,0.92,0.08,1,0,0,0.20
E165,3.48,246,-16,0.95,0.05,1,0,1,0.25
E166,3.72,264,-18,0.98,0.02,1,0,2,0.30
E167,3.96,282,-20,0.01,0.99,1,0,3,0.35
E168,4.20,300,-22,0.04,0.96,1,0,4,0.40
E169,4.44,318,-24,0.07,0.93,1,0,5,0.45
E170,4.68,336,-26,0.10,0.90,1,0,6,0.50
E171,4.92,354,-28,0.13,0.87,1,0,7,0.55
E172,5.16,372,-30,0.16,0.84,1,0,8,0.60
E173,5.40,390,-32,0.19,0.81,1,0,9,0.65
E174,5.64,408,-34,0.22,0.78,1,0,0,0.70
E175,5.88,426,-36,0.25,0.75,1,0,1,0.75
E176,6.12,444,-38,0.28,0.72,1,0,2,0.80
E177,6.36,462,-40,0.31,0.69,1,0,3,0.85
E178,6.60,480,-42,0.34,0.66,1,0,4,0.90
E179,6.84,498,-44,0.37,0.63,1,0,5,0.95
